acc_scores,f1_scores,fold_number,dataset_name,classes,dataset_len,percent_labeled_samples,exec_time_secs_9_runs
0.710091743119266,0.713363547967535,2,TREC_Train,6,5452,0.3,212.1448483467102
0.7165137614678899,0.7191641191747322,3,TREC_Train,6,5452,0.3,212.1448483467102
0.7018348623853211,0.7026399530449019,4,TREC_Train,6,5452,0.3,212.1448483467102
0.7488542621448213,0.753011299183392,0,TREC_Train,6,5452,0.4,212.1448483467102
0.7259395050412466,0.7317136294799776,1,TREC_Train,6,5452,0.4,212.1448483467102
0.7376146788990826,0.7416640451053937,2,TREC_Train,6,5452,0.4,212.1448483467102
0.7192660550458716,0.7225980520486037,3,TREC_Train,6,5452,0.4,212.1448483467102
0.7256880733944954,0.7285826859369917,4,TREC_Train,6,5452,0.4,212.1448483467102
0.769019248395967,0.7734069994067267,0,TREC_Train,6,5452,0.5,212.1448483467102
0.7497708524289642,0.754803310467718,1,TREC_Train,6,5452,0.5,212.1448483467102
0.7376146788990826,0.7425072271766711,2,TREC_Train,6,5452,0.5,212.1448483467102
0.7422018348623853,0.7457774829427342,3,TREC_Train,6,5452,0.5,212.1448483467102
0.7302752293577982,0.7332784711482824,4,TREC_Train,6,5452,0.5,212.1448483467102
0.7616865261228231,0.766072767196336,0,TREC_Train,6,5452,0.6,212.1448483467102
0.7442713107241063,0.7500694836648509,1,TREC_Train,6,5452,0.6,212.1448483467102
0.7440366972477064,0.7475000730586335,2,TREC_Train,6,5452,0.6,212.1448483467102
0.7385321100917431,0.7429905680013061,3,TREC_Train,6,5452,0.6,212.1448483467102
0.736697247706422,0.73918488100587,4,TREC_Train,6,5452,0.6,212.1448483467102
0.769019248395967,0.7725136560475945,0,TREC_Train,6,5452,0.7,212.1448483467102
0.7671860678276811,0.7723174440896768,1,TREC_Train,6,5452,0.7,212.1448483467102
0.7541284403669725,0.7573190470515286,2,TREC_Train,6,5452,0.7,212.1448483467102
0.7559633027522936,0.7600050728488359,3,TREC_Train,6,5452,0.7,212.1448483467102
0.7513761467889908,0.7525264969024082,4,TREC_Train,6,5452,0.7,212.1448483467102
0.7800183318056828,0.7840703949757469,0,TREC_Train,6,5452,0.8,212.1448483467102
0.7745187901008249,0.778350047457423,1,TREC_Train,6,5452,0.8,212.1448483467102
0.7651376146788991,0.7677569966790376,2,TREC_Train,6,5452,0.8,212.1448483467102
0.763302752293578,0.766610580227893,3,TREC_Train,6,5452,0.8,212.1448483467102
